address,url,abbrev,name,dept,shape_wkt
4550 Cowan Rd,http://fire.cobbcountyga.gov/station-11.htm,F11,Station 11,Cobb,POINT (2145199.0300636776 1479238.5700376928)
1660 Mars Hill Rd,http://fire.cobbcountyga.gov/station-18.htm,F18,Station 18,Cobb,POINT (2132983.1801515967 1453636.2298382819)
3540 Paul Samuel Rd,http://fire.cobbcountyga.gov/station-24.htm,F24,Station 24,Cobb,POINT (2148875.7599149272 1454650.1700676158)
3800 Bells Ferry Rd,http://fire.cobbcountyga.gov/station-16.htm,F16,Station 16,Cobb,POINT (2179370.179897096 1471624.4300822765)
810 Brackett Rd,http://fire.cobbcountyga.gov/station-12.htm,F12,Station 12,Cobb,POINT (2187283.6499625109 1465238.8598481938)
4431 Trickum Rd,http://fire.cobbcountyga.gov/station-25.htm,F25,Station 25,Cobb,POINT (2199895.5099093467 1476453.7301349491)
2905 Library Ln,http://fire.cobbcountyga.gov/station-14.htm,F14,Station 14,Cobb,POINT (2205933.3200121783 1466314.0401125327)
3892 Oak Ln,http://fire.cobbcountyga.gov/station-15.htm,F15,Station 15,Cobb,POINT (2214723.1200178452 1456839.6099144444)
1298 Hilton Dr,http://fire.cobbcountyga.gov/station-20.htm,F20,Station 20,Cobb,POINT (2204541.31984343 1448569.0001433641)
4400 Lower Roswell Rd,http://fire.cobbcountyga.gov/station-21.htm,F21,Station 21,Cobb,POINT (2218995.4100296795 1441664.4499761164)
580 Terrell Mill Rd,http://fire.cobbcountyga.gov/station-3.htm,F 3,Station  3,Cobb,POINT (2207230.0500302613 1432403.5200071931)
208 Barber Rd,http://fire.cobbcountyga.gov/station-2.htm,F 2,Station  2,Cobb,POINT (2181115.5100678466 1424772.0500339493)
1901 Cumberland Parkway,http://fire.cobbcountyga.gov/station-4.htm,F 4,Station  4,Cobb,POINT (2200199.2799710967 1400396.1801506132)
5656 Mableton Parkway,http://fire.cobbcountyga.gov/station-1.htm,F 1,Station  1,Cobb,POINT (2172722.4399117604 1388410.0000547767)
